epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.5446832776069641,0.7347561120986938,1.1909055709838867,0.7156402468681335
2,0.7222850918769836,0.7621951103210449,0.7391439080238342,0.6135867238044739
3,0.7726244330406189,0.7896341681480408,0.6324520111083984,0.5340713858604431
4,0.7833710312843323,0.8048780560493469,0.5693600177764893,0.5571351647377014
5,0.7833710312843323,0.8262194991111755,0.5490893721580505,0.49361127614974976
6,0.8212669491767883,0.8079268336296082,0.49546822905540466,0.5037378072738647
7,0.8116515874862671,0.8445122241973877,0.49230244755744934,0.46715644001960754
8,0.8438913822174072,0.832317054271698,0.43626585602760315,0.4768165051937103
9,0.8382353186607361,0.8628048896789551,0.4149126708507538,0.4292488098144531
10,0.8552036285400391,0.8506097793579102,0.3907385468482971,0.4196632206439972
11,0.8614253401756287,0.8475610017776489,0.37535613775253296,0.44237661361694336
12,0.8687782883644104,0.8597561120986938,0.3555803894996643,0.39368072152137756
13,0.8687782883644104,0.8719512224197388,0.3601941466331482,0.405531108379364
14,0.8704751133918762,0.8597561120986938,0.33846813440322876,0.3837544023990631
15,0.8834841847419739,0.875,0.30917495489120483,0.36954566836357117
16,0.7268099784851074,0.8628048896789551,0.8074584007263184,0.40199875831604004
17,0.7861990928649902,0.8506097793579102,0.5830277800559998,0.43086424469947815
18,0.8014705777168274,0.8475610017776489,0.5551273226737976,0.43562641739845276
19,0.8246606588363647,0.8536585569381714,0.4825846552848816,0.43223580718040466
20,0.8156108856201172,0.8628048896789551,0.47254422307014465,0.43207234144210815
21,0.8523755669593811,0.8536585569381714,0.41821449995040894,0.4365382790565491
