class,precision,recall,f1-score,support
cardboard,0.967741935483871,0.8571428571428571,0.9090909090909091,70.0
glass,0.8148148148148148,0.8048780487804879,0.8098159509202454,82.0
metal,0.8983050847457628,0.7794117647058824,0.8346456692913385,68.0
paper,0.8608695652173913,0.9166666666666666,0.8878923766816144,108.0
plastic,0.7096774193548387,0.8918918918918919,0.7904191616766467,74.0
trash,0.9047619047619048,0.6551724137931034,0.76,29.0
